***** AT90S4434-A
***** AT90S8535-A
3 PE1(TXD0/PDO)
4 PE2(XCK0/AIN0)
5 PE3(OC3A/AIN1)
6 PE4(OC3B/INT4)
7 PE5(OC3C/INT5)
8 PE6(T3/INT6)
9 PE7(IC3/INT7/CLKO)

33 PG0(WR)
34 PG1(RD)
43 PG2(ALE)
18 PG3(TOSC2)
19 PG4(TOSC1)
1 PG5(OCOB)
---


























---
51 (AD0)PA0
50 (AD1)PA1
49 (AD2)PA2
48 (AD3)PA3
47 (AD4)PA4
46 (AD5)PA5
45 (AD6)PA6
44 (AD7)PA7

25 (SCL/INT0)PD0
26 (SDA/INT1)PD1
27 (RXD1/INT2)PD2
28 (TXD1/INT3)PD3
29 (ICP1)PD4
30 (XCK1)PD5
31 (T1)PD6
32 (T2)PD7

10 (PCINT0/SS)PB0
11 (PCINT1/SCK)PB1
12 (PCINT2/MOSI)PB2
13 (PCINT3/MISO)PB3
14 (PCINT4/OC2A)PB4
15 (PCINT5/OC1A)PB5
16 (PCINT6/OC1B)PB6
17 (PCINT7/OC0A/OC1C)PB7

23 XTAL2
24 XTAL1

20o RESET

62 AREF
64 AVCC
22 GND
63 GND
53 GND
52 VCC
21 VCC
***** ATMEGA1284-A
***** ATMEGA164A-A
37 (PCINT0/ADC0)PA0
36 (PCINT1/ADC1)PA1
35 (PCINT2/ADC2)PA2
34 (PCINT3/ADC3)PA3
33 (PCINT4/ADC4)PA4
32 (PCINT5/ADC5)PA5
31 (PCINT6/ADC6)PA6
30 (PCINT7/ADC7)PA7

40 (PCINT8/T0/XCK)PB0
41 (PCINT9/CLKO/T1)PB1
42 (PCINT10/AIN0/INT2)PB2
43 (PCINT11/AIN1/OC0)PB3
44 (PCINT12/OC0B/SS)PB4
1 (PCINT13/MOSI)PB5
2 (PCINT14/MISO)PB6
3 (PCINT15/SCK)PB7

7 XTAL2
8 XTAL1
---






























---
19 (PCINT16/SCL)PC0
20 (PCINT17/SDA)PC1
21 (PCINT18/TCK)PC2
22 (PCINT19/TMS)PC3
23 (PCINT20/TDO)PC4
24 (PCINT21/TDI)PC5
25 (PCINT22/TOSC1)PC6
26 (PCINT23/TOSC2)PC7

9 (PCINT24/RXD0)PD0
